id,t_min,t_max
1384,23.0,76.5
1387,53.8,102.8
1391,23.9,38.1
1392,34.2,55.4
1393,34.2,50.1
1395,25.5,28.9
1404,24.5,39.0
1405,27.3,47.6
1407,38.3,83.9
1408,30.0,64.1
1409,31.9,41.8
1419,30.7,71.2
1421,11.9,27.0
1423,30.2,107.9
1424,19.8,36.1
1425,35.6,66.9
1426,25.0,36.5
1427,42.5,76.2
1430,36.7,91.0
1432,29.2,70.2
1439,31.6,90.2
1440,26.1,46.0
1441,22.5,30.9
1442,26.6,141.2
1443,31.7,130.8
1449,35.9,75.4
1450,43.2,89.8
1452,25.9,46.3
1456,35.1,74.3
1457,24.5,58.9
1459,35.8,75.4
1460,23.9,39.2
1463,35.0,131.6
1465,29.6,42.7
1472,36.8,132.9
1476,36.1,102.5
1479,24.0,55.8
1480,30.9,60.6
1482,33.9,200.7
1483,33.2,82.6
1487,66.1,115.7
1488,37.0,106.7
1489,26.7,39.2
1490,27.1,69.2
1491,42.4,137.3
1495,35.7,46.0
1498,35.2,78.7
1499,39.6,74.0
1502,34.1,48.6
1506,29.4,46.3
1508,23.8,33.4
1509,26.9,48.5
1510,41.8,96.5
1513,38.3,89.3
1514,29.5,46.6
1516,30.4,39.4
1517,34.2,105.5
1518,40.8,65.4
1523,27.5,68.7
1525,31.4,59.3
1526,36.6,41.3
1530,38.8,72.1
1532,39.3,83.9
1534,37.6,76.0
1536,41.1,68.4
1538,40.6,64.3
1541,32.1,67.9
1542,34.4,123.7
1543,32.5,114.0
1544,30.4,57.3
1548,34.9,61.9
1551,28.3,84.2
1552,32.0,61.9
1553,32.4,65.0
1554,19.1,80.2
1556,28.7,63.7
1557,29.9,92.6
1559,26.7,48.5
1560,32.1,49.9
1562,28.7,72.4
1563,44.6,83.1
1567,28.0,77.2
1568,30.9,50.4
1571,37.6,79.3
1573,27.7,46.1
1575,29.7,62.5
1576,29.3,77.9
1578,31.1,80.0
1584,13.2,27.4
1585,34.8,59.7
1589,24.9,69.1
1590,31.5,40.2
1595,37.8,65.1
1597,26.3,115.3
1598,20.1,132.4
1600,25.0,28.7
1603,34.7,76.0
1604,19.4,80.4
1605,37.3,49.0
1606,25.6,42.3
1608,33.9,67.2
1609,38.4,81.4
1618,34.4,57.9
1620,36.7,126.4
1621,39.9,89.0
1624,32.9,64.0
1626,28.5,58.6
1628,34.7,88.5
1630,31.6,48.5
1632,32.9,71.0
1634,32.2,68.5
1635,25.4,52.4
1637,26.0,74.5
1641,25.1,30.3
1644,35.1,44.2
1645,40.0,88.1
1649,31.0,53.5
1652,31.8,106.0
1653,25.4,46.2
1656,39.3,65.1
1659,23.0,59.5
1662,36.6,97.1
1663,41.5,86.2
1664,24.6,54.8
1665,34.1,105.0
1667,24.2,125.4
1670,32.6,68.2
1672,29.8,99.6
1673,29.7,54.2
1676,38.8,95.4
1678,26.9,140.9
1680,33.3,60.4
1684,29.0,80.6
1686,37.4,67.3
1687,24.9,42.2
1688,28.6,60.9
1689,40.0,95.4
1692,34.0,205.6
1693,26.3,48.2
1694,21.3,73.2
1697,27.3,61.9
1699,33.5,44.5
1700,32.5,104.9
1711,32.0,87.0
1713,33.6,58.4
1715,32.0,37.5
1717,37.5,53.8
1719,30.7,51.8
1720,39.4,82.8
1724,20.4,29.2
1725,33.3,93.4
1728,27.6,54.2
1732,37.1,50.7
1733,30.7,76.5
1734,20.1,42.5
1735,26.5,59.3
1738,28.8,38.1
1741,31.7,52.0
1744,25.4,49.0
1745,33.8,45.6
1746,45.7,85.6
1748,19.8,54.7
1753,29.1,87.6
1754,27.6,50.4
1759,37.2,91.4
1760,30.1,90.5
1763,35.7,81.7
1764,38.2,103.1
1765,29.4,40.0
1767,36.2,100.6
1768,33.4,76.4
1770,28.3,80.6
1773,20.6,47.4
1784,39.6,77.9
1785,27.3,92.2
1787,37.6,59.6
1788,28.3,36.7
1789,37.4,83.1
1790,24.7,119.8
1793,25.4,43.4
1794,33.7,53.5
1795,22.9,43.1
1797,33.9,92.2
1802,39.3,72.0
1804,32.2,54.5
1807,23.3,48.3
1808,31.5,40.9
1811,32.9,51.0
1812,23.2,50.2
1813,31.3,63.1
1816,42.8,65.3
1822,30.1,43.9
1824,28.9,70.7
1826,22.9,42.9
1827,36.0,57.6
1829,26.5,38.6
1830,19.2,31.0
1833,25.2,47.8
1834,28.4,77.3
1841,34.7,142.4
1846,38.0,94.1
1850,39.4,89.1
1851,28.1,46.9
1853,40.5,52.9
1854,34.6,46.0
1855,20.5,31.8
1858,41.7,90.3
1860,41.3,79.5
1862,33.5,127.0
1863,34.8,78.9
1867,53.5,107.3
1868,32.9,69.7
1869,33.8,79.2
1870,32.7,78.0
1871,33.8,71.1
1872,17.6,75.6
1873,29.1,78.7
1876,39.8,82.4
1877,33.4,53.4
1879,35.0,74.6
1883,33.8,117.8
1884,34.6,95.9
1886,23.3,56.6
1890,30.9,42.1
1891,32.8,80.4
1893,26.5,56.0
1894,43.5,62.6
1910,24.0,91.6
1911,31.6,63.8
1913,30.3,45.0
1916,34.4,74.9
1919,30.8,49.4
1921,30.9,85.6
1923,42.8,94.0
1927,33.5,42.9
1930,31.7,93.4
1935,29.7,56.3
1939,40.5,83.3
1946,35.0,71.5
1951,26.2,60.5
1957,45.4,112.5
1959,44.4,99.9
1961,33.3,54.0
1962,39.2,141.6
1963,38.9,178,5
1966,25.8,32.1
1968,30.4,74.6
1969,37.9,51.6
1973,20.4,39.0
1974,36.8,66.7
1976,25.8,83.3
1978,22.9,42.3
1979,31.5,49.2
1985,32.7,85.5
1987,33.3,54.1
1994,33.2,145.7
1997,29.0,48.9
2001,29.6,94.1
2002,38.7,96.9
2007,32.5,47.2
2009,22.1,51.0
2011,31.4,70.2
2012,33.7,75.5
2015,29.7,50.0
2016,43.9,82.1
2017,24.6,58.5
2019,27.1,75.8
2021,35.8,63.8
2022,25.7,62.8
2025,33.0,44.0
2028,27.8,72.2
2040,31.6,42.0
2041,38.0,68.5
2043,28.1,85.5
2047,29.1,44.7
2048,36.5,107.9
2049,26.7,45.2
2052,31.4,56.8
2053,24.5,83.1
2054,28.6,79.7
2055,28.4,53.5
2056,39.4,66.1
2059,27.8,31.9
2061,33.4,53.3
2066,29.7,53.3
2067,25.4,129.0
2069,34.1,91.0
2071,18.3,100.2
2080,25.6,93.1
2081,24.9,30.6
2082,38.8,124.4
2083,51.5,116.5
2084,28.0,49.8
2088,18.3,66.8
2092,33.5,62.0
2093,31.0,79.8
2095,38.7,63.5
2100,36.6,111.8
2102,31.6,55.1
2104,31.5,49.8
2107,49.9,121.6
2108,34.2,64.0
2109,27.4,61.0
2110,34.1,49.0
2111,30.9,82.7
2117,34.0,63.5
2120,25.7,38.3
2125,22.4,33.0
2126,30.0,49.8
2133,36.7,95.2
2136,37.7,103.5
2137,22.4,32.4
2139,27.9,51.0
2141,34.8,90.1
